id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
310;246;Oetwil an der Limmat;8955;ZH;8.39288663734915;47.4294953907737;de;false
311;247;Urdorf;8902;ZH;8.4351091625623;47.3906508342208;de;true
312;247;Schlieren;8952;ZH;8.44962421190847;47.3941976357805;de;true
315;249;Unterengstringen;8103;ZH;8.44444940839797;47.4112415203588;de;false
318;251;Weiningen ZH;8104;ZH;8.43716295963015;47.4216211888059;de;false
320;261;Zürich;8001;ZH;8.5413676145722;47.3729339689807;de;true
321;261;Zürich;8002;ZH;8.53130073086635;47.3601724379404;de;true
322;261;Zürich;8003;ZH;8.51614210789703;47.3725785673908;de;true
323;261;Zürich;8004;ZH;8.52337031414391;47.3779991514411;de;true
324;261;Zürich;8005;ZH;8.52068410508307;47.3867663336031;de;true
325;261;Zürich;8006;ZH;8.54317473941158;47.3857656711571;de;true
326;261;Zürich;8008;ZH;8.56264148685813;47.3562452131854;de;true
327;261;Zürich;8032;ZH;8.56443872628376;47.3666887949159;de;true
328;261;Zürich;8037;ZH;8.52426180664665;47.3984949048226;de;true
329;261;Zürich;8038;ZH;8.531490726908;47.3401972291688;de;true
331;261;Zürich;8044;ZH;8.57283034213158;47.3804148789049;de;true
332;261;Zürich;8045;ZH;8.50570809614372;47.3516151731776;de;true
333;261;Zürich;8046;ZH;8.50827867603202;47.4221773793525;de;true
334;261;Zürich;8047;ZH;8.48702183633808;47.3738923298751;de;true
335;261;Zürich;8048;ZH;8.48387109205024;47.3867468439882;de;true
336;261;Zürich;8049;ZH;8.50046674824501;47.4086983877832;de;true
337;261;Zürich;8050;ZH;8.55080201904129;47.4119380092103;de;true
340;261;Zürich;8053;ZH;8.59741871169863;47.3612896947988;de;true
341;261;Zürich;8055;ZH;8.49029204172114;47.3641888014107;de;true
342;261;Zürich;8057;ZH;8.54739260756406;47.399925838858;de;true
343;261;Zürich;8064;ZH;8.48524727281162;47.3986575948688;de;true
350;291;Andelfingen;8450;ZH;8.6753432035579;47.5947161815523;de;false
351;291;Adlikon b. Andelfingen;8452;ZH;8.70498601383454;47.5768581885198;de;false
352;291;Humlikon;8457;ZH;8.6759244199274;47.5748542548409;de;false
353;292;Waltalingen;8468;ZH;8.76698168014167;47.6208294124791;de;false
354;292;Guntalingen;8468;ZH;8.75965773610412;47.6353978859636;de;false
355;292;Unterstammheim;8476;ZH;8.78971685473506;47.6476426081117;de;false
356;292;Oberstammheim;8477;ZH;8.80478900915164;47.6284347691541;de;false
357;292;Wilen b. Neunforn;8525;ZH;8.7954426983287;47.6037159685154;de;false
358;293;Au ZH;8804;ZH;8.64493827568683;47.2439257281453;de;false
359;293;Wädenswil;8820;ZH;8.65498293594665;47.2206174647434;de;true
360;293;Schönenberg ZH;8824;ZH;8.64072907311684;47.1925344008006;de;false
361;293;Hütten;8825;ZH;8.65879283659672;47.1735287558767;de;false
362;294;Elgg;8353;ZH;8.86067146868434;47.4907246994285;de;false
364;294;Dickbuch;8354;ZH;8.83257377062209;47.4964589910611;de;false
365;294;Aadorf;8355;ZH;8.8922490567506;47.491957819952;de;false
368;295;Sihlbrugg Station;8135;ZH;8.57333328578839;47.2433552883216;de;false
369;295;Sihlwald;8135;ZH;8.55439803589835;47.258301261329;de;false
370;295;Horgen;8810;ZH;8.61259220109862;47.2463664988886;de;true
371;295;Horgenberg;8815;ZH;8.58401675568537;47.2471527500215;de;false
372;295;Hirzel;8816;ZH;8.60198849889764;47.2203462204488;de;false
375;296;Ottikon b. Kemptthal;8307;ZH;8.72550419224064;47.4299799553307;de;false
378;296;Kyburg;8314;ZH;8.74150583719869;47.4523057846152;de;false
383;297;Sternenberg;8499;ZH;8.91029766979799;47.3898605119899;de;false
385;298;Bertschikon;8543;ZH;8.82972583947176;47.5259523781284;de;false
386;298;Gundetswil;8543;ZH;8.82189902990209;47.539147364314;de;false
387;298;Kefikon ZH;8543;ZH;8.82830235503405;47.5481676224136;de;false
388;298;Attikon;8544;ZH;8.80050692641835;47.5372217124242;de;false
389;298;Menzengrüt;8546;ZH;8.81732712891522;47.5488681382778;de;false
390;301;Lyss;3250;BE;7.30738336837707;47.0545131316061;de;true
391;301;Seedorf BE;3267;BE;7.29595328084874;47.0391247398274;de;false
392;301;Aarberg;3270;BE;7.28320273410873;47.0442422840616;de;false
393;301;Kappelen;3273;BE;7.2735614697874;47.056457408641;de;false
394;302;Bargen BE;3282;BE;7.25035857987011;47.0352415503659;de;false
